Unnamed: 0,roi_name,text,text_prompt,number,location,shape,size,color
0,cju8dk7eztzup08182yxko5zh.jpg,"{""number"": 1, ""location"": ""center"", ""shape"": ""oval"", ""size"": ""large"", ""color"": ""pink""}","1 oval large pink polyp areas, located in the center of the image.",1,7,2,0,2
1,cju2r7h21sj9608354gzks3ae.jpg,"{""number"": 1, ""location"": ""center"", ""shape"": ""circle"", ""size"": ""small"", ""color"": ""red""}","1 circle small red polyp areas, located in the center of the image.",1,7,5,3,6
2,cju42m60jlpcm08186kqppzqv.jpg,"{""number"": 1, ""location"": ""lower right corner"", ""shape"": ""round"", ""size"": ""small"", ""color"": ""pink""}","1 round small pink polyp areas, located in the lower right corner of the image.",1,44,13,3,2
3,cju320gyvbch60801v2amdi2g.jpg,"{""number"": 1, ""location"": ""top left"", ""shape"": ""oval"", ""size"": ""large"", ""color"": ""red""}","1 oval large red polyp areas, located in the top left of the image.",1,8,2,0,6
4,cju2top2ruxxy0988p1svx36g.jpg,"{""number"": 1, ""location"": ""center"", ""shape"": ""oval"", ""size"": ""large"", ""color"": ""pink""}","1 oval large pink polyp areas, located in the center of the image.",1,7,2,0,2
5,cju85rkbnlo1c08503uxcpax1.jpg,"{""number"": 1, ""location"": ""center"", ""shape"": ""oval"", ""size"": ""small"", ""color"": ""white""}","1 oval small white polyp areas, located in the center of the image.",1,7,2,3,3
6,cju5von04litr08718j8po40a.jpg,"{""number"": 1, ""location"": ""lower left corner"", ""shape"": ""polyp"", ""size"": ""small"", ""color"": ""red""}","1 polyp small red polyp areas, located in the lower left corner of the image.",1,14,8,3,6
7,ck2bxqz3evvg20794iiyv5v2m.jpg,"{""number"": 1, ""location"": ""left side of the image"", ""shape"": ""oval"", ""size"": ""small"", ""color"": ""pink""}","1 oval small pink polyp areas, located in the left side  of the image.",1,0,2,3,2
8,cju7cl8zm1xcu0817ado0jpas.jpg,"{""number"": 1, ""location"": ""left side of the image"", ""shape"": ""oval"", ""size"": ""large"", ""color"": ""pink""}","1 oval large pink polyp areas, located in the left side  of the image.",1,0,2,0,2
9,cju5h57xedz5h0755mjpc8694.jpg,"{""number"": 0.08, ""location"": ""top left"", ""shape"": ""oval"", ""size"": ""large"", ""color"": ""red""}","1 oval large red polyp areas, located in the top left of the image.",16,8,2,0,6
10,cju34eqjpcpm508788b3lhp97.jpg,"{""number"": 1, ""location"": ""center"", ""shape"": ""round"", ""size"": ""large"", ""color"": ""orange""}","1 round large orange polyp areas, located in the center of the image.",1,7,13,0,1
11,cju2z2x3nvd3c099350zgty7w.jpg,"{""number"": 1, ""location"": ""center"", ""shape"": ""oval"", ""size"": ""large"", ""color"": ""pink""}","1 oval large pink polyp areas, located in the center of the image.",1,7,2,0,2
12,cju2suk42469908015ngmq6f2.jpg,"{""number"": 1, ""location"": ""center"", ""shape"": ""round"", ""size"": ""large"", ""color"": ""pink""}","1 round large pink polyp areas, located in the center of the image.",1,7,13,0,2
13,cju5ddda9bkkt0850enzwatb1.jpg,"{""number"": 1, ""location"": ""top center"", ""shape"": ""oval"", ""size"": ""small"", ""color"": ""pink""}","1 oval small pink polyp areas, located in the top center of the image.",1,38,2,3,2
14,cjyzlw7f9faqr070129au64sq.jpg,"{""number"": 1, ""location"": ""center"", ""shape"": ""circle"", ""size"": ""large"", ""color"": ""pink""}","1 circle large pink polyp areas, located in the center of the image.",1,7,5,0,2
15,cju8adb60qbiu080188mxpf8d.jpg,"{""number"": 1, ""location"": ""center"", ""shape"": ""round"", ""size"": ""small"", ""color"": ""red""}","1 round small red polyp areas, located in the center of the image.",1,7,13,3,6
16,cju8arof2qpf20850ifr1bnqj.jpg,"{""number"": 1, ""location"": ""center"", ""shape"": ""oval"", ""size"": ""small"", ""color"": ""pink""}","1 oval small pink polyp areas, located in the center of the image.",1,7,2,3,2
17,cju2yg5ht8i4p087800js8hp4.jpg,"{""number"": 1, ""location"": ""middle of the image"", ""shape"": ""curved"", ""size"": ""large"", ""color"": ""pink""}","1 curved large pink polyp areas, located in the middle  of the image.",1,15,0,0,2
18,cju6w733bveoz0817e600tw72.jpg,"{""number"": 1, ""location"": ""center"", ""shape"": ""round"", ""size"": ""small"", ""color"": ""pink""}","1 round small pink polyp areas, located in the center of the image.",1,7,13,3,2
